"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**,Ref**";"via";165;"Val**";;;
2;"U1";"ARDUINO_MICRO_SHIELD";1;"ARDUINO_MICRO_SHIELD";;;
3;"REF**,REF**,REF**,REF**";"MountingHole_3-5mm";4;"MountingHole_3-5mm";;;
4;"U2";"DIP-20__300_ELL";1;"MAX233_DIP";;;
5;"C8,C2,C3,C4,C9,C10,C1";"C_1206_HandSoldering";7;"1u";;;
6;"P7";"Pin_Header_Straight_2x03";1;"CONN_BP_RS232";;;
7;"P6";"Pin_Header_Straight_2x03";1;"CONN_GPS_RS232";;;
8;"P5";"Pin_Header_Straight_2x03";1;"CONN_FP_GPS";;;
9;"R14,R15,R8,R9,R10,R11,R12,R17";"R_1206_HandSoldering";8;"270R";;;
10;"Q2,Q1";"SOT-23_Handsoldering";2;"MMBT3904";;;
11;"P4";"Pin_Header_Straight_2x05";1;"CONN_FP_OCXO";;;
12;"R7,R1,R2,R5,R13";"R_1206_HandSoldering";5;"10k";;;
13;"P3";"Pin_Header_Straight_1x02";1;"CONN_OCXO_TUNE_SELECT";;;
14;"P2";"Pin_Header_Straight_2x02";1;"CONN_OCXO_POWER";;;
15;"R4,R6";"R_1206_HandSoldering";2;"2k2";;;
16;"P1";"Pin_Header_Straight_1x02";1;"CONN_PLL_SENSE";;;
17;"R3,R16";"R_1206_HandSoldering";2;"1k";;;
18;"D11,D12";"Diode-SMA_Handsoldering";2;"S1A";;;
19;"C5,C12";"Elko_vert_11.2x6.3mm_RM2.5";2;"22u";;;
20;"C6,C11";"C_1206_HandSoldering";2;"100n";;;
21;"P8";"Pin_Header_Straight_1x02";1;"CONN_ARDUINO_PWR";;;
22;"R18,R19";"R_1206_HandSoldering";2;"4k7";;;
23;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10";"Diode_SOD-123_1206_Large_Pads";10;"1N4148";;;
